# Accelerometer Data File
# Started @Fri Feb 08 08:53:39 EET 2019
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.00390625m/sec^2; Max Range: 32.0; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
0.073 0.0 0.197 10
0.066 0.0 0.178 11
0.059 0.0 0.16 8
0.053 0.0 0.144 11
0.048 0.0 0.129 10
0.043 0.0 0.116 10
0.039 0.0 0.105 10
0.035 0.0 0.094 11
0.031 0.0 0.085 9
0.028 0.0 -0.198 9
0.025 0.0 -0.041 11
0.023 0.0 -0.037 10
0.02 0.0 -0.033 10
0.018 0.0 -0.03 17
0.016 0.0 -0.027 3
0.015 0.0 0.251 10
-0.261 0.0 0.364 9
-0.097 0.0 0.328 11
-0.088 0.0 0.018 11
-0.079 0.0 0.017 9
-0.071 0.0 0.015 16
-0.064 0.0 0.013 4
-0.057 0.0 0.288 10
-0.052 0.0 0.259 10
-0.322 0.0 0.233 11
-0.289 0.0 0.21 9
-0.26 0.0 -0.086 10
-0.234 0.0 0.06 10
-0.211 0.0 0.054 10
-0.19 0.0 0.048 10
-0.171 0.0 -0.232 17
-0.154 0.0 -0.209 3
-0.138 0.0 -0.188 10
-0.124 0.0 -0.169 9
-0.112 0.0 -0.566 11
-0.101 0.0 -0.509 10
0.184 0.0 -0.458 10
0.165 0.0 -0.412 10
0.149 0.0 0.18 10
-0.278 0.0 0.713 10
-0.25 0.0 0.642 9
-0.225 0.0 0.578 11
-0.203 0.0 -0.031 12
-0.182 0.0 -0.303 8
-0.164 0.0 -0.41 10
-0.148 0.0 -0.369 10
-0.133 0.0 -0.332 9
0.155 0.0 -0.299 11
0.277 0.0 -0.545 10
0.249 0.0 -0.629 11
0.5 0.0 -0.29 8
0.45 0.0 0.014 11
0.405 0.0 0.288 9
0.364 0.0 0.398 11
-0.222 0.0 0.358 10
-0.338 0.0 0.598 10
-0.304 0.0 0.4 10
-0.273 0.0 0.084 13
-0.246 0.0 -0.337 7
0.329 0.0 -0.442 13
0.433 0.0 -0.397 7
0.39 0.0 0.193 10
0.351 0.0 0.312 10
0.04 -0.275 0.556 10
-0.1 -0.11 0.225 10
-0.09 -0.099 -0.073 10
-0.081 -0.089 -0.203 10
0.201 -0.08 0.092 10
0.319 -0.072 0.221 10
0.287 -0.065 0.474 10
-0.016 -0.058 0.565 10
0.122 -0.052 0.095 12
0.11 -0.047 -0.19 7
0.099 -0.042 -0.171 11
0.089 0.237 0.122 10
0.08 0.075 0.522 10
0.072 0.067 0.195 11
0.065 0.061 0.038 9
0.058 0.055 0.034 10
0.052 0.049 0.03 9
0.047 0.044 0.027 11
0.042 0.04 0.024 10
-0.236 0.036 0.022 9
-0.075 0.032 -0.256 11
-0.067 0.029 -0.368 10
0.214 0.026 -0.331 9
0.192 0.023 -0.298 11
0.173 0.021 0.007 10
-0.119 0.019 0.144 12
-0.245 0.017 -0.145 8
-0.22 0.015 -0.406 17
-0.198 0.013 -0.366 2
0.096 0.012 -0.329 11
0.087 0.011 -0.021 9
0.078 0.01 0.257 10
0.07 0.009 0.369 13
-0.211 0.008 0.056 8
-0.19 0.007 -0.224 10
-0.171 0.006 -0.34 10
0.258 0.006 -0.582 19
0.232 0.005 -0.247 11
0.209 0.004 0.052 10
-0.086 0.004 0.323 10
-0.215 0.003 0.291 10
-0.194 0.003 -0.014 10
-0.174 0.003 -0.15 10
-0.157 0.002 -0.135 12
-0.141 0.002 -0.122 8
-0.127 0.002 -0.109 10
-0.114 0.002 0.176 11
-0.103 0.001 0.158 9
-0.092 0.001 0.143 10
-0.083 0.001 0.128 10
-0.075 0.001 0.115 10
0.207 0.001 0.104 9
0.186 0.001 0.093 11
0.168 0.001 0.084 9
0.151 0.0 0.352 10
0.136 0.0 0.454 11
0.122 0.0 0.409 10
-0.165 0.0 0.092 10
-0.148 0.0 -0.054 10
-0.133 0.0 -0.049 10
0.155 0.0 -0.044 12
0.139 0.0 -0.04 8
0.125 0.0 -0.036 10
0.113 0.0 0.381 10
0.101 0.0 0.343 10
0.091 0.0 0.584 9
-0.33 0.0 0.388 11
-0.297 0.0 -0.063 12
-0.267 0.0 -0.333 7
0.172 0.0 -0.3 11
0.154 0.0 -0.27 10
0.139 0.0 0.033 9
0.125 0.0 0.167 11
-0.162 0.0 0.15 10
-0.146 0.0 -0.278 9
-0.131 0.0 -0.388 11
-0.118 0.0 -0.349 10
-0.106 0.0 -0.314 10
0.179 0.276 0.131 9
0.161 0.111 0.255 11
0.145 0.099 0.23 10
-0.282 0.089 -0.069 16
-0.254 0.08 -0.062 4
-0.228 0.072 -0.469 9
0.207 0.065 -0.422 11
0.324 0.059 -0.38 10
0.291 0.053 -0.342 10
0.262 0.047 -0.032 9
0.236 0.043 -0.166 11
-0.062 0.038 -0.564 10
-0.056 0.034 -0.645 9
-0.05 0.031 -0.58 11
-0.045 0.028 -0.799 12
0.371 0.025 -0.719 8
0.473 0.298 -0.371 12
0.701 0.268 -0.058 9
0.631 0.241 0.361 9
0.568 0.217 0.601 9
0.235 -0.079 0.679 11
0.073 -0.21 0.611 10
-0.209 -0.189 0.55 10
-0.325 -0.445 0.495 10
-0.293 -0.401 0.445 10
-0.539 -0.361 -0.013 10
-0.209 -0.324 -0.287 10
0.086 -0.017 -0.81 10
0.491 0.123 -0.729 9
0.58 0.11 -0.38 11
0.522 0.099 0.208 10
-0.081 0.089 0.464 10
-0.486 -0.195 0.555 10
-0.575 -0.175 0.5 10
-0.518 -0.158 0.45 10
-0.466 -0.142 0.405 10
-0.419 -0.128 0.364 9
-0.377 -0.115 0.328 11
-0.339 -0.103 0.295 10
-0.03 0.182 0.265 10
-0.027 0.164 0.239 15
-0.024 0.148 0.215 5
-0.022 0.133 0.193 10
-0.295 0.119 0.174 10
-0.265 0.107 0.156 10
-0.239 0.097 -0.135 10
0.06 0.087 -0.121 10
0.054 0.078 -0.109 10
0.048 0.07 0.315 10
0.043 0.063 0.559 10
0.039 0.057 0.503 9
0.035 0.051 0.04 16
0.031 0.046 0.036 5
0.028 0.041 0.032 9
0.025 0.037 0.58 17
0.023 0.033 0.66 4
0.02 -0.245 0.594 10
-0.256 -0.221 -0.016 10
-0.23 -0.199 -0.98 12
0.067 0.097 -1.02 10
0.198 0.225 -0.918 7
0.178 -0.073 -0.412 11
0.16 -0.066 0.042 10
-0.13 -0.059 0.313 9
-0.255 -0.053 0.282 11
-0.229 -0.048 -0.159 10
-0.206 -0.043 -0.281 11
0.089 -0.039 -0.253 8
0.08 -0.035 0.048 11
0.072 -0.307 0.181 9
0.065 -0.276 0.163 11
0.058 -0.248 -0.542 10
0.052 -0.223 -0.902 10
0.047 0.073 -0.949 10
0.455 0.205 -0.854 10
0.41 0.184 -0.493 10
0.369 -0.11 -0.03 10
-0.08 -0.099 -0.027 9
-0.21 -0.089 -0.024 11
-0.189 -0.08 -0.298 10
-0.17 -0.072 -0.406 10
0.121 -0.065 -0.365 10
0.247 -0.058 -0.052 10
0.222 -0.052 0.09 11
0.2 -0.047 0.081 9
-0.094 -0.042 0.072 10
-0.085 -0.038 0.065 9
-0.076 -0.034 0.059 11
-0.069 -0.031 0.053 10
-0.062 -0.028 0.047 10
-0.056 -0.025 0.318 12
-0.05 -0.022 0.286 8
-0.32 -0.02 -0.155 10
-0.151 -0.018 -0.278 9
-0.135 0.259 -0.25 11
0.153 0.233 -0.225 10
0.275 0.21 -0.202 9
0.247 0.189 0.093 11
-0.052 0.17 0.222 10
-0.184 0.153 0.199 9
-0.166 0.138 0.456 11
-0.149 0.124 0.271 10
-0.134 0.111 0.521 9
-0.121 0.1 0.331 11
-0.109 0.09 0.298 10
-0.098 0.081 0.268 10
0.187 0.073 0.241 10
0.168 0.066 0.217 10
0.151 0.059 0.195 9
0.136 0.053 0.176 11
0.122 0.048 0.158 10
0.11 0.043 -0.133 9
0.513 0.314 -0.12 11
0.462 0.282 -0.108 9
0.415 0.254 0.729 11
0.097 0.229 1.208 10
-0.187 -0.345 1.226 10
-0.581 -0.31 0.827 10
-0.661 -0.279 0.192 10
-0.181 0.024 -1.205 9
0.249 0.297 -1.222 11
0.638 0.405 -1.1 10
0.712 0.364 -0.3 9
0.641 0.328 0.418 11
0.025 -0.117 0.79 10
-0.39 -0.105 0.435 9
-0.351 -0.095 0.116 11
-0.316 -0.085 -0.171 10
0.128 0.198 -0.154 9
0.115 0.04 -0.138 11
0.104 0.036 0.564 10
-0.181 0.032 0.646 9
-0.301 -0.246 0.581 10
-0.271 -0.221 -0.027 11
-0.244 -0.199 -0.439 9
-0.219 -0.179 -1.084 15
0.077 -0.161 -1.113 6
0.345 0.13 -1.002 9
0.587 0.255 -0.35 11
0.39 0.229 0.097 10
-0.062 -0.068 0.501 10
-0.331 -0.2 0.865 10
-0.436 -0.18 0.779 10
-0.392 -0.437 0.424 10
-0.353 -0.256 0.106 9
-0.317 -0.23 -0.317 13
-0.286 -0.207 -0.561 8
0.017 -0.186 -0.643 10
0.153 -0.168 -0.854 10
0.138 0.125 -1.183 10
0.676 0.112 -1.065 19
0.608 0.101 0.007 11
0.271 0.091 0.558 10
-0.168 -0.331 0.64 10
-0.427 -0.298 0.576 10
-0.384 -0.268 0.104 9
-0.346 -0.242 -0.319 11
-0.036 -0.217 -0.287 10
0.105 -0.196 -0.258 9
0.094 -0.176 -0.232 11
0.085 -0.158 -0.209 10
0.076 -0.142 -0.188 10
0.069 -0.128 -0.445 9
0.062 0.159 -0.401 11
0.331 0.143 -0.361 9
0.298 0.129 -0.048 11
-0.007 0.116 0.231 10
-0.281 -0.17 0.484 9
-0.253 -0.153 0.297 11
-0.228 -0.138 0.267 10
-0.205 -0.124 -0.034 10
-0.184 0.163 -0.168 10
0.246 0.147 -0.151 10
0.222 0.132 0.138 10
0.199 0.119 0.401 10
0.179 0.107 0.636 10
-0.388 0.096 0.435 10
-0.35 0.086 0.391 10
-0.315 0.078 -0.336 9
-0.283 0.07 -0.165 11
0.157 0.063 -0.148 10
0.142 0.056 0.141 10
0.127 0.051 0.265 10
-0.16 0.046 0.239 10
-0.281 0.041 0.215 10
-0.253 0.037 0.193 10
-0.228 0.033 0.174 10
0.069 0.03 0.156 9
0.062 0.027 0.141 14
0.056 0.024 -0.149 7
0.05 0.022 0.003 10
0.045 0.019 0.003 9
0.041 0.017 0.002 15
0.037 -0.121 0.002 6
0.033 -0.109 0.002 9
0.03 -0.098 0.278 11
0.027 -0.088 0.388 10
0.024 -0.079 0.349 10
0.021 -0.071 0.589 10
-0.255 -0.064 0.53 10
-0.23 -0.058 -0.211 11
-0.207 -0.052 -0.465 9
0.089 0.229 -0.556 10
0.493 0.206 -0.501 10
0.443 0.185 -0.175 10
0.399 0.167 0.531 9
0.084 -0.125 0.615 11
-0.199 -0.251 0.554 10
-0.317 -0.225 0.223 10
-0.285 0.072 -0.074 10
0.156 0.064 -0.205 10
0.278 0.058 0.091 10
0.25 0.052 0.219 10
-0.05 0.047 0.197 10
-0.182 0.042 0.178 10
-0.164 0.038 -0.253 9
-0.148 0.034 -0.641 11
0.142 0.031 -0.577 10
0.265 0.027 -0.244 9
0.239 0.025 0.194 11
-0.197 0.022 0.45 10
-0.315 0.02 0.681 10
-0.284 -0.257 0.337 10
-0.255 -0.093 -0.109 10
-0.23 -0.084 -0.512 10
0.068 -0.075 -0.599 10
0.336 0.208 -0.539 10
0.303 0.187 -0.485 9
0.272 0.168 -0.161 11
0.245 0.151 -0.145 10
-0.054 0.136 -0.13 10
0.088 0.122 -0.393 10
0.079 0.11 -0.216 10
0.071 0.099 -0.194 10
0.064 -0.186 0.238 10
0.058 -0.168 0.352 10
-0.223 -0.151 0.317 9
-0.063 -0.136 -0.128 11
-0.056 -0.122 -0.667 10
0.224 0.166 -0.6 10
0.339 0.149 -0.264 11
0.305 0.134 -0.099 9
0.275 0.121 -0.089 9
-0.027 0.108 -0.08 11
-0.162 0.098 -0.072 10
-0.146 0.088 -0.065 10
-0.131 0.079 -0.059 9
-0.118 0.071 -0.053 11
0.168 0.064 -0.047 10
0.151 0.057 -0.043 9
0.136 0.052 -0.038 11
0.122 0.046 -0.034 10
0.11 0.042 -0.031 10
-0.175 -0.238 0.247 10
-0.433 -0.214 0.361 10
-0.39 -0.193 -0.089 10
-0.351 0.102 -0.217 10
-0.04 0.23 -0.472 10
0.376 0.207 -0.425 10
0.201 0.186 0.169 9
0.18 0.167 0.566 11
-0.25 -0.125 0.784 10
-0.5 -0.25 0.568 9
-0.45 -0.225 0.236 11
-0.405 0.073 -0.201 12
-0.089 0.066 -0.181 8
0.057 0.059 -0.162 10
0.051 0.053 -0.146 10
0.046 0.048 -0.131 9
0.041 0.043 -0.118 17
0.037 0.038 -0.106 4
0.033 0.035 -0.096 9
0.03 0.031 -0.086 11
0.027 0.028 0.197 9
0.024 0.025 0.316 11
0.022 0.023 0.56 10
0.019 0.02 0.504 10
0.017 0.018 0.453 9
0.016 0.016 -0.281 15
0.014 0.015 -0.252 6
0.288 0.013 -0.503 10
0.259 0.012 -0.177 10
0.233 0.286 0.254 18
0.21 0.12 0.228 2
0.189 0.108 0.206 10
0.17 0.097 0.185 10
0.153 0.087 0.166 10
0.137 0.078 0.15 10
0.124 -0.205 0.135 11
0.111 -0.046 0.121 9
0.1 -0.041 0.109 10
0.09 -0.037 -0.177 10
0.081 -0.033 -0.022 10
0.073 -0.03 0.256 9
0.065 -0.027 0.368 11
0.059 -0.024 0.331 9
-0.221 -0.022 0.298 11
-0.199 -0.019 0.268 9
-0.179 -0.017 -0.31 10
-0.161 -0.016 -0.416 18
-0.145 -0.014 -0.375 3
-0.131 -0.013 -0.337 10
0.157 -0.011 -0.028 9
0.004 -0.01 -0.025 11
0.003 -0.009 -0.022 10
0.003 -0.008 -0.02 9
0.002 -0.007 -0.018 11
0.002 -0.006 -0.016 9
0.002 -0.282 -0.015 10
-0.273 -0.116 -0.288 11
-0.108 -0.104 -0.26 9
-0.097 -0.094 -0.234 11
-0.087 -0.084 -0.21 10
-0.078 -0.076 -0.189 10
-0.071 -0.068 -0.17 9
-0.063 -0.061 -0.153 11
-0.057 -0.055 -0.138 9
-0.051 -0.05 -0.124 10
-0.046 -0.045 -0.111 11
-0.041 -0.04 0.45 9
-0.037 -0.036 0.268 11
-0.033 -0.032 0.241 10
-0.03 -0.029 -0.334 10
-0.027 -0.026 -0.577 11
0.25 -0.024 -0.519 9
0.363 0.254 -0.191 10
0.326 -0.047 0.103 9
0.294 -0.18 0.506 11
-0.285 -0.162 0.593 10
-0.395 -0.145 0.534 9
-0.355 -0.131 -0.07 11
-0.32 -0.118 -0.201 10
-0.012 -0.106 -0.181 10
0.126 -0.095 -0.163 11
0.113 -0.086 0.128 9
0.102 -0.077 -0.159 10
0.092 0.206 -0.557 18
0.082 0.323 -0.501 2
0.074 0.291 -0.451 9
0.342 0.262 -0.13 11
0.032 0.235 0.709 10
-0.108 -0.063 1.052 9
-0.51 -0.195 0.947 16
-0.459 -0.175 0.852 5
-0.138 0.118 0.078 9
0.151 0.243 -0.481 11
0.411 0.219 -0.433 10
0.37 0.197 0.023 10
0.057 0.177 0.297 13
0.052 0.16 0.267 7
-0.228 0.144 0.24 9
0.069 0.129 -0.472 11
0.2 0.116 -0.425 11
0.456 0.105 -0.382 8
0.411 0.094 0.207 11
-0.044 0.085 0.461 10
-0.177 0.076 0.553 9
-0.159 0.068 0.222 11
-0.143 0.062 -0.076 10
-0.129 0.055 -0.343 10
0.296 0.05 -0.171 11
0.267 0.045 -0.154 9
0.24 0.04 -0.139 10
0.216 0.036 -0.125 10
-0.08 0.032 -0.112 11
-0.072 0.029 -0.101 8
-0.065 0.026 -0.091 11
-0.058 0.024 -0.082 9
-0.052 0.021 0.202 11
-0.047 0.019 0.319 10
-0.042 -0.258 0.287 9
-0.038 -0.232 0.259 11
-0.034 -0.209 -0.043 11
-0.031 -0.188 -0.176 9
-0.303 -0.169 -0.158 9
-0.273 -0.152 -0.418 14
-0.245 -0.137 -0.652 7
0.191 -0.123 -0.725 9
0.31 -0.111 -0.652 11
0.279 0.176 -0.587 9
0.251 -0.117 0.16 11
0.226 -0.243 0.558 10
-0.484 -0.219 0.64 10
-0.574 -0.197 0.576 10
-0.516 -0.177 0.104 10
-0.465 -0.159 -0.043 10
-0.143 -0.143 -0.039 10
0.008 -0.129 -0.035 10
0.008 -0.116 -0.031 10
0.007 -0.104 -0.58 10
0.006 -0.094 -0.659 10
0.005 0.191 -0.87 9
0.28 0.172 -0.783 10
0.252 0.154 -0.428 11
0.227 0.139 0.166 9
-0.07 -0.15 1.114 11
-0.339 -0.135 1.002 10
-0.58 -0.122 0.902 10
-0.522 -0.109 0.399 10
0.08 0.177 0.221 6
0.072 0.159 0.199 10
0.065 0.143 0.179 10
0.058 -0.009 0.436 11
0.052 -0.008 0.393 3
0.047 -0.007 0.353 9
0.042 -0.006 0.043 11
0.038 -0.006 -0.512 11
0.034 -0.005 -0.6 8
0.306 -0.004 -0.54 11
0.275 -0.004 -0.072 10
0.248 -0.004 0.072 10
0.223 -0.003 0.341 10
-0.074 -0.003 0.582 10
-0.066 -0.002 0.524 10
-0.06 -0.002 0.472 10
-0.054 -0.002 0.425 10
-0.048 -0.002 0.382 10
-0.043 -0.001 0.344 10
-0.039 -0.001 -0.103 10
-0.035 -0.001 -0.231 9
0.243 -0.001 -0.208 11
0.219 -0.001 -0.187 10
0.197 -0.001 -0.168 10
0.177 -0.001 -0.151 10
0.159 0.0 -0.136 9
0.143 0.0 -0.123 11
0.129 0.0 -0.11 9
0.116 0.0 0.176 11
-0.17 0.0 -0.117 10
-0.015 0.0 -0.105 10
-0.014 0.0 -0.095 10
-0.012 0.0 -0.085 9
-0.011 0.0 -0.076 11
-0.01 0.0 -0.069 10
-0.009 0.0 -0.062 10
-0.008 0.0 -0.056 10
-0.007 0.0 -0.05 9
-0.006 0.0 -0.045 11
-0.006 0.0 -0.04 9
-0.005 0.0 -0.312 11
-0.004 0.0 -0.418 9
-0.004 0.0 -0.376 10
-0.004 0.0 -0.615 11
-0.003 0.0 -0.416 9
-0.003 0.0 -0.374 11
-0.002 0.0 -0.337 10
-0.002 0.0 -0.303 10
-0.002 0.0 0.003 10
-0.002 0.0 0.002 10
-0.001 0.0 0.278 9
-0.001 0.0 0.25 11
-0.001 0.0 0.225 10
-0.001 0.0 0.202 10
-0.276 0.0 0.182 10
-0.248 0.0 -0.111 10
-0.224 0.0 -0.514 10
-0.201 0.0 -0.6 10
0.093 0.0 -0.816 10
0.222 0.276 -0.596 10
0.476 0.248 -0.261 10
0.29 0.223 0.178 9
-0.014 -0.074 0.988 11
-0.288 -0.205 1.026 10
-0.534 -0.184 0.924 10
-0.481 -0.166 0.28 10
-0.433 -0.149 -0.023 10
0.023 0.141 -0.296 10
0.296 0.265 -0.266 9
0.404 0.238 -0.24 11
0.363 0.214 0.196 10
0.052 0.193 0.315 10
-0.09 0.174 0.284 11
-0.081 0.156 0.255 8
-0.073 0.14 0.23 11
-0.066 0.126 0.207 9
-0.059 0.114 0.461 19
-0.053 0.102 0.415 2
-0.048 0.092 0.374 10
-0.043 0.083 0.061 12
-0.039 0.074 -0.221 7
-0.035 0.342 -0.198 11
0.381 0.308 -0.179 10
0.343 0.277 0.39 10
0.033 -0.025 0.489 10
-0.107 -0.022 0.44 9
-0.096 -0.02 0.12 11
-0.087 -0.018 -0.305 9
-0.078 -0.016 -0.412 19
0.204 -0.015 -0.371 2
0.322 -0.013 0.079 9
0.289 -0.012 0.209 11
-0.014 -0.01 0.188 10
-0.013 -0.009 0.169 10
-0.011 -0.008 -0.536 10
-0.01 -0.007 -0.482 10
0.265 -0.007 -0.434 10
0.101 -0.006 0.021 9
-0.183 -0.005 0.433 11
-0.303 -0.281 0.39 9
-0.272 -0.253 0.075 11
-0.245 -0.228 -0.345 9
-0.221 0.071 -0.587 11
0.351 0.063 -0.39 10
0.316 0.057 -0.075 10
0.009 0.051 0.483 10
-0.266 -0.229 0.297 12
-0.377 -0.344 -0.008 8
-0.34 -0.309 -0.42 10
-0.03 -0.278 -0.792 9
0.11 0.025 -0.851 11
0.374 0.16 -0.49 10
0.337 0.144 -0.027 10
0.303 0.129 0.664 16
-0.002 -0.159 0.598 4
-0.139 -0.143 0.538 10
-0.125 -0.129 0.484 9
-0.113 -0.116 -0.115 11
-0.101 -0.104 -0.104 13
-0.091 -0.094 -0.093 7
-0.082 -0.084 -0.084 13
-0.074 -0.076 -0.075 7
-0.066 -0.068 -0.068 10
-0.06 -0.061 -0.061 10
-0.054 -0.055 -0.33 9
-0.048 -0.05 -0.297 12
-0.043 -0.045 -0.267 8
-0.039 -0.04 0.31 11
-0.035 -0.036 0.417 9
-0.307 -0.032 0.375 10
-0.276 -0.029 0.337 11
-0.248 -0.026 -0.109 13
0.051 0.252 -0.098 6
0.183 0.364 -0.088 11
0.165 0.328 0.196 10
0.148 0.295 0.314 9
-0.141 0.265 0.282 11
0.01 0.239 -0.021 9
0.009 0.215 -0.019 11
0.008 0.193 -0.017 10
0.007 0.174 -0.291 10
0.006 0.157 -0.262 16
0.006 0.141 -0.235 4
0.005 0.127 -0.212 10
0.28 0.114 0.084 10
0.39 0.103 0.075 10
0.351 0.092 0.068 10
0.04 0.083 0.061 10
-0.101 -0.2 0.607 10
-0.091 -0.18 0.408 10
-0.081 -0.162 0.092 9
-0.073 -0.146 -0.193 13
-0.066 -0.131 -0.449 8
0.215 -0.118 -0.542 9
0.194 -0.106 -0.212 12
0.174 -0.095 0.084 8
-0.118 -0.362 0.352 11
-0.244 -0.326 0.316 10
-0.495 -0.293 0.285 9
-0.445 -0.264 -0.294 13
-0.401 -0.237 -0.541 8
-0.36 0.062 -0.348 10
-0.324 -0.082 -0.314 9
-0.292 -0.074 -0.282 11
-0.263 -0.066 0.158 10
-0.236 -0.06 0.281 9
-0.213 -0.054 0.253 15
-0.467 -0.048 0.227 5
-0.42 -0.043 -0.208 10
-0.378 -0.039 -0.187 10
-0.34 -0.035 0.244 11
-0.306 -0.031 0.358 11
-0.275 -0.028 0.322 9
-0.524 -0.025 0.29 10
-0.472 -0.023 -0.152 9
-0.424 -0.02 -0.413 10
-0.382 -0.018 -0.371 10
0.069 -0.017 0.078 16
0.062 -0.015 0.07 6
0.056 -0.013 0.063 8
0.05 -0.012 0.057 18
0.045 -0.011 0.051 3
0.041 -0.01 -0.229 9
0.037 -0.009 -0.343 13
0.033 -0.008 -0.309 8
0.03 -0.007 -0.003 10
0.027 -0.006 0.134 9
0.024 -0.005 0.121 14
0.021 -0.005 -0.166 7
0.019 -0.004 -0.287 10
0.017 -0.004 -0.258 13
0.015 -0.003 -0.232 8
0.014 -0.003 -0.209 8
0.012 -0.003 -0.188 11
0.011 -0.002 -0.169 10
0.423 0.273 -0.152 12
0.518 0.246 0.138 8
0.467 0.221 0.124 16
0.42 0.199 0.111 4
0.378 0.179 0.376 10
0.34 0.161 0.614 10
0.031 0.145 0.415 10
0.165 0.13 0.373 10
0.149 0.117 0.06 10
0.409 0.106 -0.221 16
0.368 0.095 -0.199 4
0.331 0.085 -0.179 10
0.298 0.077 -0.161 12
0.268 0.069 -0.145 8
0.241 0.062 -0.544 10
0.217 0.331 -0.627 10
0.195 0.437 -0.565 10
0.59 0.393 0.043 12
0.392 0.629 0.728 7
0.353 0.152 1.344 11
-0.232 -0.138 1.624 10
-0.622 -0.4 1.461 10
-0.974 -0.221 0.901 10
-0.739 -0.199 0.397 9
-0.665 -0.456 -0.331 11
-0.598 -0.272 -0.298 9
-0.538 -0.245 -0.268 11
-0.484 -0.22 -0.654 10
-0.022 0.077 -0.865 10
0.117 0.069 -1.33 10
0.105 0.062 -1.06 9
0.37 0.47 -0.677 11
0.195 0.147 -0.058 9
-0.236 -0.142 0.499 11
-0.627 -0.404 1.138 10
-0.702 -0.226 1.3 10
-0.631 -0.204 0.205 17
-0.568 -0.183 0.184 3
-0.511 0.11 -0.247 10
-0.046 0.237 -0.498 9
0.095 0.213 -0.31 11
0.086 0.192 -0.004 11
0.077 -0.102 0.134 8
0.069 -0.091 0.121 11
0.062 -0.082 0.109 10
0.056 -0.074 -0.315 10
0.05 -0.067 -0.421 10
0.045 -0.06 -0.104 10
0.041 -0.054 0.32 11
0.037 -0.048 0.425 9
0.033 -0.043 0.107 17
0.03 -0.039 -0.041 3
0.027 -0.035 -0.312 10
0.024 -0.032 -0.419 11
0.021 -0.028 -0.377 8
0.019 -0.025 -0.615 11
0.293 -0.023 -0.691 9
0.401 -0.021 -0.622 11
0.361 -0.018 -0.285 10
0.325 -0.017 0.157 10
0.292 -0.015 0.555 9
-0.011 -0.013 0.775 11
-0.148 -0.012 0.697 9
-0.133 -0.287 0.352 10
-0.12 -0.121 0.041 11
-0.108 -0.108 -0.1 10
-0.097 -0.098 -0.09 9
0.187 -0.088 -0.633 11
0.168 -0.079 -0.707 10
0.152 -0.071 -0.913 15
0.136 0.211 -0.821 5
0.123 0.19 -0.739 10
0.386 0.171 0.024 10
0.485 0.154 0.435 10
0.436 0.139 0.668 10
-0.019 0.125 0.876 10
-0.293 0.112 0.788 10
-0.401 0.101 0.296 10
-0.361 0.091 -0.284 9
0.087 0.082 -0.255 18
0.078 0.073 -0.23 3
0.071 0.066 0.205 10
0.063 0.059 0.323 10
0.057 0.053 0.291 9
-0.223 -0.227 0.262 11
-0.201 0.071 -0.04 9
-0.181 0.201 -0.311 11
0.387 0.181 -0.556 10
0.349 0.163 -0.363 10
0.314 0.147 0.914 10
0.007 -0.142 1.374 9
-0.268 -0.404 1.513 11
-0.518 -0.364 0.947 9
-0.466 -0.328 0.439 11
-0.419 -0.295 -0.845 10
0.036 0.01 -0.899 10
0.583 0.147 -1.084 12
0.525 0.132 -1.252 8
0.472 0.119 -0.989 10
0.7 0.382 -0.2 14
0.769 0.344 0.371 6
0.692 0.31 1.023 9
0.071 -0.272 1.334 10
-0.211 -0.245 1.339 11
-0.603 -0.22 0.791 11
-0.681 -0.198 0.436 9
-0.613 -0.592 0.254 11
-0.551 -0.395 -0.045 8
-0.22 -0.355 -0.593 11
0.214 -0.044 -1.223 10
0.606 -0.04 -1.514 10
0.683 -0.036 -1.639 10
0.891 0.519 -1.199 10
0.939 0.467 -0.39 9
0.845 0.42 0.476 11
0.347 -0.034 0.98 10
-0.238 -0.169 1.296 10
-0.627 -0.152 1.166 11
-0.841 -0.412 0.635 9
-0.756 -0.371 0.159 10
-0.404 -0.059 -0.27 10
0.048 0.223 -0.657 13
0.456 0.338 -0.453 7
0.548 0.304 0.005 16
0.494 0.274 0.004 4
0.169 -0.028 0.004 10
0.014 -0.025 0.003 10
0.013 -0.023 -0.548 10
0.011 -0.02 -0.354 10
0.01 -0.018 -0.319 10
0.009 -0.016 0.264 10
0.008 -0.015 0.513 9
0.007 -0.013 0.599 11
-0.268 -0.012 0.264 10
-0.103 -0.011 -0.038 10
-0.093 -0.009 -0.31 12
-0.084 -0.008 -0.279 14
0.199 -0.008 -0.251 4
0.179 -0.007 -0.226 10
0.161 -0.006 -0.203 11
0.145 -0.005 -0.459 9
0.131 -0.005 -0.274 9
0.117 -0.004 -0.247 11
0.106 -0.142 0.052 15
0.095 -0.128 0.185 5
0.085 -0.115 0.166 9
-0.198 -0.104 0.15 11
-0.178 -0.093 0.135 10
