# Accelerometer Data File
# Started @Fri Feb 08 08:53:39 EET 2019
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.00390625m/sec^2; Max Range: 32.0; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
-0.013 -0.094 -0.331 8
-0.012 -0.085 -0.298 10
-0.011 -0.076 -0.268 9
-0.01 -0.069 -0.241 11
-0.009 -0.062 -0.217 9
-0.008 -0.055 -0.195 11
-0.007 -0.05 -0.176 10
-0.006 -0.045 -0.158 10
-0.005 -0.04 -0.142 10
-0.005 -0.036 -0.403 9
-0.004 -0.033 -0.363 11
-0.004 -0.029 -0.327 10
-0.003 -0.026 -0.294 9
-0.003 -0.024 -0.264 11
-0.003 -0.021 0.037 9
-0.002 -0.019 0.033 11
-0.002 -0.017 0.029 10
-0.002 -0.015 0.026 9
-0.002 -0.014 0.024 11
0.273 -0.012 0.021 10
0.246 -0.011 0.019 10
0.221 -0.01 0.017 10
0.199 -0.009 0.015 10
0.179 -0.008 0.014 11
0.161 -0.007 0.012 8
0.145 -0.006 0.011 11
0.13 -0.006 0.01 9
0.117 -0.005 0.009 10
0.105 -0.004 0.284 11
0.095 -0.004 0.256 10
0.085 -0.004 0.23 10
-0.198 -0.003 0.207 10
-0.178 -0.003 0.186 10
-0.16 -0.002 0.168 9
-0.144 -0.002 0.151 11
-0.13 -0.002 0.136 10
-0.117 -0.002 0.122 9
-0.105 -0.001 0.11 11
-0.094 -0.001 0.374 9
-0.085 -0.001 0.337 11
-0.076 -0.001 0.303 10
